source,target,en_length,zh_length
They're already starting to circle back around to the car.,他们已经在往车的方向绕了。,58,13
That brings Dev out of his reverie rather quickly.,Dev从沉思中清醒了过来。,50,13
"Artie seems to take this as the go-ahead to reveal irrelevant, and embarrassing information about Dev's previous love life.",Artie以此为契机，大谈起了Dev无关紧要的、令人尴尬的爱情往事。,123,34
"Cameron says it in a contemplative way, in a way that makes Dev uneasy, even though the coyote is probably just truly curious.",Cameron若有所思地问道，这令Dev感到有些不安，尽管这只郊狼可能真的只是好奇。,126,42
"Devon's muzzle burns under the fur, even hotter than the heat of the desert.",Devon的鼻子燃了起来，沙漠的炎热都要望而却步。,76,25
"To Devon's dismay, Cameron sounds genuinely interested now, combined with a genuine degree of concern.",令Devon沮丧的是，Cameron现在真的来了兴趣，而且是发自真心的那种。,102,38
Dev avoids answering.,Dev回避了这个话题。,21,11
Arturo prattles on to Cameron while Devon sulks behind a bit.,Devon对于Arturo对Cameron的喋喋不休暗自有些不快,61,32
The bear finds himself wishing he'd been the one to tell Cameron about all of that.,熊发现他更希望自己才是把这些事讲给Cameron听的那个人。,83,30
"The way Artie described it made him sound... unstable, in a way.",在Artie的描述中，他听起来...不太可靠。,64,23
"The fox had been cute, but Devon never really got to know him before Jesús abruptly broke it off.",Jesús是很可爱，但直到狐狸突然提出分手的那一天，Devon也不曾真正了解过对方。,97,42
"When he first met Cameron, on the other hand, he was cute {i}and{/i} hot, especially with his guitar and voice, but that was just the surface stuff.",另一方面，虽然Cameron给他的第一印象也是可爱{b}外加{/b}性感，更别提吉他弹得棒，声音还好听，但那些都只是表面上的。,148,63
"Cameron was also nice, and considerate, and thoughtful, and complex in ways that the bear is still trying to fully understand.",Cameron和蔼可亲、温柔体贴、心思缜密，还有着熊至今都无法看透的复杂情结。,126,39
"Devon had \""girlfriends\"" in high school so people wouldn't get suspicious, but the fox had been what he considered his first real relationship, and he'd simply overreacted to his first real breakup.",为了不引起别人的怀疑，Devon在高中时交过一个‘女朋友’，但他认为狐狸才是自己真正意义上的第一任，而他不过是对第一次分手反应过度了。,199,67
"Looking back on his 19-year-old self, it's hard to understand why it had felt like the end of the world.",回顾十九岁那年，他很难理解彼时的自己为什么会感觉天崩地裂。,104,29
"If Cameron were to disappear from his life now, it would be the end of world, the world that he knows at least.",Cameron从他的生命中消失，这才是世界的终结，至少是他所知的这个世界。,111,37
"Maybe if for some terrible reason, it did come to an end, he would look back ten years from now and think the same about his 25-year-old self... but he doubts that.",或许，出于某种可怕的原因，这段感情真的走到了尽头，十年后的他会抱着同样的心态回顾二十五岁的自己...但他表示怀疑。,164,57
"Five years is a long time, and he plans to spend the rest of his life with Cameron.",五年是段很长的时间，而他依旧打算与Cameron共度余生。,83,29
"Unlike that fling in college, losing Cameron would be a traumatic, life-changing disaster.",与大学时的那段风流不同，失去Cameron将是一场痛苦的、足以改变一生的灾难。,90,39
Just thinking about it now makes his throat tighten.,只要一想到这些，他就喉咙发紧。,52,15
"The abyss he's felt below his feet since he was twelve, that emotional scar left over from the last traumatic event in his life, seems to yawn a bit wider.",那条他自十二岁起就能感受到的深渊，他人生中唯一一次心理应激，仿佛在他脚下打了个大大的哈欠。,155,45
"The bear thinks back to the point he'd been trying to make about engineers helping to avoid catastrophic failures, and why it had felt like he had been talking to himself.",这头熊回想起了他是如何不懈地表达让工程师帮助避免灾难性事故的观点，以及他为何有自言自语的感觉。,171,47
"There's a moment in which recovery is impossible, where a chain reaction of small disasters are set off that then mushroom into a tragedy.",在某个无法挽回的时刻，一个不起眼的祸患以迅雷不及掩耳之势引发了一场悲剧。,138,36
Maybe he'd been reminding himself about what could happen... or maybe he's realizing something that's already happened.,他一直警惕着可能出现的情况...又或者他已经意识到发生了什么。,119,31
"Why does it feel like he's already past that point, the point where he made a decision at a literal fork that set in motion a cascade of failures?",这种追悔莫及的感觉从何而来？他在那个字面意思上的岔路口做出的决定，会是这一串连锁的原点吗？,146,45
"There's no reason for him to feel that way considering they're minutes away from leaving, but it feels hopeless now.",他不该有这种念头，毕竟再过几分钟他们就要离开此地了，可眼下他实在无望。,116,35
He ignored all the signs and he turned right.,他无视了所有的征兆，向右打了方向盘。,45,18
Ignored all the signs...,无视了所有的征兆...,24,11
"Just like all those officials who ignored signs from their department stores, bridges, dams, and spaceships.",和那些无视了购物中心、桥梁、水坝和宇宙飞船征兆的官员一样。,108,29
At least until everything fell apart.,在一切分崩离析之前。,37,10
"Time passes quickly, and bantering with Artie and Devon had made Cameron forget what he was trying to do in the first place.",时间飞快地过去了，与Artie和Devon的打趣让Cameron忘记了自己最初的目的。,124,43
He wonders if maybe that had been Devon's goal.,他怀疑这是Devon有意的。,47,14
"He should be keeping his mind open, not covering up potential spirits with loud, obnoxious laughs as they reminisce about their college days.",他应该保持思想开明，而不是借着回忆大学时代，用吵闹的、惹人不快的笑声来掩盖潜在的灵魂。,141,43
"Because right now he's feeling something, something strange that he can't explain.",因为他现在有一种无法解释的奇怪感觉。,82,18
Cameron can't leave now.,Cameron现在还不能离开。,24,15
"Dev doesn't say anything, and that makes Cameron squirm.",Dev一言不发，这让Cameron很不自在。,56,22
"Dev's tone is so resolute, so unshaken, that Cameron shrinks into himself, realizing he's reached Dev's limit.",Dev的语气是如此果断、如此坚决，以至于吓退了Cameron，他意识到自己已经触及了Dev的底线。,110,49
Artie clears his throat.,Artie清了清嗓子。,24,11
"Dev is clearly taken aback by Cameron's intensity, which had been Cameron's intention.",Dev显然被Cameron的认真程度吓了一跳，这也是Cameron的意图。,86,37
"Something is wrong, and he needs to confirm it.",有哪里不对劲，他必须前去确认。,47,15
"Dev doesn't say anything for several seconds, seeming to be weighing multiple scenarios in his head.",Dev沉默了好几秒钟，似乎在脑中权衡着各种利弊。,100,24
"Dev kisses Cameron on the head for a long moment before walking away, up the road.",Dev在Cameron的头上亲吻了许久，之后沿着道路离开了。,82,30
"Artie looks back and forth, confused, before following Dev.",Artie来回看了看，然后才一脸疑惑地跟上Dev。,59,25
"Alone now, Cameron can tell that something is definitely different.",现在，独自一人的Cameron可以肯定，绝对有什么东西不一样了。,67,32
"He can't put his finger on it, but it's not just him being residually high.",他说不清楚，但肯定不是因为自己吸嗨了的缘故。,75,22
It's almost like he can see more clearly.,他仿佛拥有了更清晰的视野。,41,13
Like he can see more.,更开阔的眼界。,21,7
"{i}\""{cps=20}Meaning in nothing.\""{/i}",\,38,1
Cameron isn't sure what to think about this.,Cameron不知该作何感想。,44,15
"The weed is making it happen, though.",不过这确实是大麻导致的。,37,12
Just like he hoped it would.,正如他希望的那样。,28,9
But it's weak.,但效果十分微弱。,14,8
"He can hear the voices of those who have passed, just barely playing along the wind.",他只能勉强捕捉到那些逝去之人随风飘荡的声音。,84,22
"For just a fraction of a second, he thinks of trying opioids just once more, and how that would truly help him see things.",有那么一瞬间，他想再尝试一次阿片类药物，想知道它们是如何帮助他看到‘东西’的。,122,39
"The thought leaves him feeling physically repulsed to the point that he almost retches, the visceral reaction surprising even him.",这个想法令他的身体本能地产生了厌恶，几乎到了干呕的程度，这种发自内心的反应甚至连他自己都惊讶不已。,130,49
"Three years of substance abuse, the death of his mother, the deaths of his friends...",三年的毒品滥用、他母亲的死、他朋友的死...,85,22
He vividly remembers those two weeks when he quit cold turkey.,他清楚地记得戒断反应发作的那两周。,62,17
"Hiding away in his friend's basement, in a pool of sweat, shaking, having every bathroom issue possible, wanting to rip through his fur and skin, to run into the street, to run into a car.",躲在朋友的地下室里、汗流浃背、浑身发抖、各种各样的卫生问题、挠得遍体鳞伤、跑到街上、撞上一辆汽车。,188,49
He cried constantly.,他止不住地哭泣。,20,8
He hated himself.,他恨自己。,17,5
He was worthless.,他没有任何价值。,17,8
He needed to die.{w} He {i}had{/i} to die.,他应该去死。{w}他{b}必须{/b}得死。,42,22
"But at the end of those two weeks, he'd made it.",然而他成功撑过了两个星期。,48,13
"It was hard, but like his friends would always tell him: withdrawals aren't the hard part.",这很难，但就像他的朋友总是告诉他的那样：戒毒并不是最难的部分。,90,31
"The hard part is finding pills in a friend, or relative's medicine cabinet months, even years later.",困难的地方在于，在几个月甚至几年后，亲戚和朋友的药柜里总是能找到药丸。,100,35
"The hard part is crushing those pills up in neat little lines of powder, staring at them, telling yourself you don't need it.",困难的地方在于，把那些药丸碾碎成一粒粒的粉末，盯着它们，告诉自己你不需要它。,125,38
You don't have to do it.,不可以那样做。,24,7
But you do it.,但你还是做了。,14,7
You always do it.,不管戒了多少次。,17,8
No matter how many times you get clean.,你就是死性不改。,39,8
Someone like Cameron needed something else to keep him clean.,像Cameron这样的人需要别的东西以保持戒毒的决心。,61,27
"And that's Devon, because the shame and heartache of Devon finding out wouldn't ever be worth it.",那就是Devon，被Devon发现的耻辱和心痛会鞭笞他远离毒品。,97,32
"But knowing this moment, any moment, can be far better with a single pill...",然而得知这一刻，任何一刻，只需一粒药丸，就能轻松得多...,76,29
"Unfortunately, that feeling will always be there.",更不幸的是，这种想法将永远根植在他心中。,49,20
"So no, this is stupid, and he won't touch drugs again, not even weed.",所以，不，这简直愚蠢透极，他不会再碰毒品了，哪怕是一片大麻。,69,30
{i}{cps=20}The window.{/i},{b}{cps=20}那扇窗户。{/b},26,20
"At first, Cameron is only surprised.",起初，Cameron只是惊讶。,36,15
"This is something he hasn't seen in months, not since October of last year.",他已经几个月没看见那东西了，自去年十月份以来。,75,23
"But still, he kind of hoped this would happen.",但他或多或少期待着能再见到它。,46,15
"This creature, this manifestation, is somehow connected to his abilities.",那个生物的显现，某种程度上与他的能力有关。,73,21
He'd always thought it to be mental illness.,他一直以为这是精神疾病。,44,12
"But now that he knows there's something more to all of this, maybe it's a sign, a harbinger of sorts that might lead him to important visions...",然而现在，他知道事情远不止这么简单。它的出现也许是一个预示，一个引领他走向重大愿景的征兆...,144,47
"Still, something about it is especially unsettling this time.",尽管如此，他还是感觉异常不安。,61,15
Something is wrong.,有哪里不对劲。,19,7
"Something is different, and it's more than just the Raincoat Monster appearing.",不仅仅是雨衣怪物的出现，有什么东西不一样了。,79,22
{i}Arches and half-circles.{/i},{b}拱形和半圆。{/b},31,13
His train of thought cuts off as he notices a barely discernible movement from the creature.,那个生物微乎其微的动作打断了他的思绪。,92,19
"Aside from a handful of moments in the past that felt like glitches more than anything else, the creature never moved.",除了过去几次不外乎故障的时刻外，那个生物从未移动过。,118,26
It was always like a cardboard cutout.,如硬纸板的剪影般，一成不变。,38,14
"It's no longer cardboard, though.",不过，它不再是纸板了。,33,11
It's breathing.,它在呼吸。,15,5
What's happening?,发生了什么？,17,6
He's not thinking right.,他的思路是错的。,24,8
"This thing isn't part of Echo, Cameron knows that.",Cameron知道，那东西不属于回音镇。,50,20
"So why is it acting different, more alive, as if the town is amplifying it?",那为何它不似从前，更具生气，犹如被这个小镇放大了？,75,25
"Maybe it's just the setting, his nerves, the weed, but now he's realizing how strange it is that he's been so relieved to find out he's psychic.",也许只是因为环境、他的神经质，还有大麻。但他现在才意识到，自己的如释重负有多么不可思议。,144,44
Doesn't he still have problems?,他不依旧是个怪胎吗？,31,10
It's not like all of those issues were just solved.,并非所有的问题都解决了。,51,12
"Are those the voices of the dead, or something else?",那些是死者的声音，还是别的什么？,52,16
"Are those ghosts, or hallucinations?",幽灵，亦或是幻觉？,36,9
Is there a difference?,有区别吗？,22,5
Suddenly a whole new wave of anxiety washes over the canine.,一股前所未有的焦虑顿时席卷了这只郊狼。,60,19
"Just like that, he's not sure about anything anymore.",就这样，他对一切都没有了把握。,53,15
"He'd had such a beautiful, life-changing epiphany and now...",他曾有过一个美好的、可以改变人生的顿悟，然而现在...,60,27
"He looks up the road toward where Dev and Artie are, but they're not there and Cameron stares, wondering what's real anymore.",他朝Dev和Artie所在的方向望去，但那里空无一人。Cameron呆呆地凝视着，不知道什么才是真实的。,125,52
"He looks back at the monster, standing in that window.",他回头看向站在窗口的怪物。,54,13
"If it is a harbinger for something important, he should go into that room.",如果这预示着某种重要的事即将发生，那么他没有理由不去那个房间。,74,31
"Otherwise he'll just leave here knowing he's crazy, knowing he's on the verge of a fucking psychotic break.",否则他只会怀着自己仍是个濒临崩溃的疯子的心情怅然离去。,107,27
"And then he's moving for the window, for that monster, the whispers growing and the distortions twisting...",之后，在越来越吵、愈发失真的低语声中，他开始朝那扇窗户，朝那个怪物一步步走去...,107,41
"Devon watches his boyfriend in the distance carefully, feeling his anxiety come down a bit as Cameron just seems to stand there.",Devon仔细观察着远处的Cameron，看到男朋友似乎只是站在原地，他这才稍稍松了口气。,128,45
"For a moment, Devon is glad Artie cuts himself off, but then--",有那么一瞬间，Devon还在庆幸Artie自己闭上了嘴，但紧接着-,62,33
"Artie is already running up the road, toward his car.",Artie已经上了公路，朝自己的车跑去。,53,20
"Devon looks and sees a man standing next to the car, the hood up.",Devon远远望去，只见一个男人正站在车子旁边，引擎盖也已经被打开了。,65,35
"Devon isn't sure what to do at first, either go to Cameron, or follow Artie.",他愣了下神，不确定该去找Cameron，还是跟着Artie。,76,30
"Cameron seems oblivious in the distance, which is probably for the best, and it doesn't look like the man is carrying any sort of weapon, so deciding his friend is gonna need help, he runs after Artie.",好在远处的Cameron似乎没有察觉什么，并且看样子那个人没有携带武器，于是他追上Artie，想要帮自己的朋友讨个说法。,201,60
Dev runs up to the car just as the old weasel-looking man headbutts Artie in the face.,就在Dev跑向汽车的途中，那个鼬模样的老汉用头撞了Artie的脸。,86,33
Artie stumbles and falls on his ass.,Artie失足跌倒在地。,36,12
"The weasel regards him coolly, seemingly not bothered by the fact that he just used his own face as a battering ram.",那只鼬冷冷地盯着他，似乎对自己刚刚把脸当做攻城锤的事不以为然。,116,31
"Dev doesn't know what to say, mostly because he doesn't know why the guy just did what he did.",Dev哑口无言，主要是因为他不知道对方为何这么做。,94,25
"Meanwhile, Artie moans on the ground, a paw to his forehead.",与此同时，Artie单手扶额，坐在地上呻吟起来。,60,24
That at least gives Dev a starting point.,这至少给了Dev一个出发点。,41,14
He shows off a pair of plyers.,那个人晃了晃手上的钳子。,30,12
Devon can hear his heart pounding in his ears as he sees a tool box balanced on the bumper.,看到保险杠上横着一个工具箱，Devon感到自己的心脏仿佛都要跳出嗓子眼。,91,36
"Devon starts to step forward to take the plyers from the man, but a flash of light blinds him.",Devon上前去抢钳子，却被一道光晃得目眩。,94,22
"Dev had never been hit before, not as an adult, at least.",Dev从来没有被人打过，至少成年后没有。,57,20
"His size usually deterred anyone from trying anything, and he normally didn't get into those kinds of situations anyway.",他的体型足够有威慑力，一般人也不敢对他轻举妄动。,120,24
So this moment takes what feels like a long time for his brain to process.,所以眼下，他的大脑宕机了。,74,13
"He stumbles on his feet, paws uselessly outstretched, trying to refocus when--",就在他跌跌撞撞，徒劳地伸出爪子，试图重新调整重心的时候-,78,28
"Something explodes in his stomach that seems to expand like a balloon under his ribcage."" with vpunch
    ""有什么东西在他的胃里爆炸了，仿佛肋骨下的一个胀满气的气球。""

# game/a1s3.rpy:793
translate Schinese a1s3_de6aa8bf:

    # ""The bear doubles over in shock, feeling like a vacuum has opened up in his torso before he falls to his knees.",熊震惊地弯下腰，双膝跪地，像是浑身的空气都被抽干。,311,25
"The long, strained sound of agony seems to go on forever as his diaphragm refuses to work.",他的横膈膜拒绝工作，憔悴的呻吟声不绝于耳。,90,21
"Only now does he realize he's been punched in the stomach as well, and while he's had the wind knocked out of him before, it's nothing like this.",直到现在，他才意识到自己的肚子也挨了一拳。虽然不是没有被打得晕头转向过，但这一次完全不同。,145,45
"Dev goes on droning in response, a small part of him considering that he might actually suffocate to death.",Dev只能回以哼哼声，他差点以为自己要窒息而亡了。,107,25
"Devon, still with his face toward the ground, only hears movement above him, but that's followed by a gasp from Artie.",Devon仍低着头，只听头顶传来一声响，接着是Artie倒吸凉气的声音。,118,36
"Dev is only now starting to get his breath back, but his eyes are locked on the gun in his face, and his insides turn to water, which has nothing to do with the punch.",Dev现在才开始恢复呼吸，可盯着脸前那把枪，他不由得四肢发软。,167,31
The man adjusts his grip on the gun and Dev almost chokes with fear.,那人换了下枪的握法，吓得Dev几乎窒息。,68,20
"Either the old man is gonna shoot him, or he's gonna do it on accident.",他要么死于老汉的枪下，要么意外死于老汉的枪下。,71,23
Artie's rough breathing next to Devon is the only thing that lets the bear know that the cat is still there with him.,Artie粗乱的呼吸声是Devon唯一知道那只猫还在附近的证明。,117,32
"With that, the man turns away, sticking his gun down his pants before calmly collecting his tools, closing the toolbox, and walking off the road, straight through the sage brush.",说罢，那个人转过身，把枪插进裤腰，然后平静地收起工具，关上工具箱，从艾灌丛径直离开了公路。,178,45
"Artie bends over Devon who slowly stumbles to his feet, hunched over, his stomach aching far worse than his muzzle, which he wipes clean of blood.",Artie俯下身，同时Devon蹒跚地站了起来。他弓着腰，强忍鼻子与肚子的双重痛苦擦去嘴边的血。,146,48
"Artie looks back to the car and even from here, Dev can see wiring sticking out from the hood.",Artie回头瞥了眼汽车，即使从这里，Dev也能看见暴露在引擎盖外的电线。,94,37
"Devon jogs up the road, grunting with each step, each one sending a jolt through his stomach.",Devon在路上小跑着，每一步都令他的胃感到一阵颠簸。,93,27
"While the weasel hadn't moved in this direction, Dev isn't taking chances.",虽然鼬没有朝这个方向走，但Dev不想冒险。,74,21
He also needs to make sure the coyote is--,他还需要确保郊狼-,42,9
"He shouldn't be panicking, not yet, but that feeling is starting up again, and after having a gun pointed in his face...",他不该惊慌失措，至少现在还不应该，但在被枪直指着脸后，那种感觉又回来了...,120,38
No answer.,无人应答。,10,5
"Dev heaves for air, looking around, looking around, until--",Dev大口喘着气，他四处找啊找，找啊找，直到-,59,23
He sees a flash of flannel through a motel window.,他透过汽车旅馆的窗户，看到了一闪而过的法兰绒。,50,23
"He's next to it in a second, unable to fit, so he pries back boards with his bare paws.",他急不可耐地跑到旁边，却发现自己根本过不去，于是便赤手撬起了上面的挡板。,87,36
"Then he pushes through, and tumbles into dark, thick, blackness.",然后他强行挤进窗口，跌入了伸手不见五指的黑暗之中。,64,25
Running was something he was always good at.{w} He was always the fastest in his class.,他一直很擅长于奔跑。{w}他是班里跑得最快的人。,87,24
"Just last year, he came in second in the 200 meter dash at the state track meet.",就在去年，他取得了州田径会200米短跑第二的好成绩。,80,26
"Just eight months ago, a coach from the University of Pueblo approached him about joining the track and field team after graduation.",就在八个月前，一名来自普韦布洛大学的教练找他商量了毕业后加入田径队的相关事宜。,132,39
"Just last month, he realized he was the fastest freshman on the team.",就在上个月，他发现自己是队里速度最快的新生。,69,22
"Just last week, he started to hang out with older men who could get him into Pueblo's gay bars.",就在上周，他开始和那群能把自己捎带进普韦布洛Gay吧的年长男人们厮混。,95,35
"Just three days ago, one of these men spiked his drink.",就在三天前，其中一个家伙往他的酒里掺了药。,55,21
"Just two days ago, he woke up in restraints.",就在两天前，他在五花大绑中醒来。,44,16
"Just yesterday, he was being tortured.",就在昨天，他饱受虐待。,38,11
"Just ten minutes ago, he escaped.",就在十分钟前，他逃了出来。,33,13
"But now, he's realizing that it doesn't matter.",然而现在，他发现这不过是白费功夫。,47,17
Everywhere he looks is only burning desert.{w} There's no one.,目光所及之处，尽是无垠的沙漠。{w}渺无人烟。,62,23
His attempts to scream for help matter even less because his voice is broken.{w} He can barely wheeze after what the man did to him.,呼救也愈发失去了意义，因为他的声音早已嘶哑不堪。{w}在遭受了那个人的种种虐待之后，喘息都俨然成一种折磨。,132,53
"And now his empty, droning sounds are being swallowed up by the desert.",好不容易拼凑出空洞的嘶吼，也被沙漠所吞噬。,71,21
"All the while, the heavy steps scraping through gravel behind him keep coming.{w} The man isn't in a hurry at all.",与此同时，身后沉重的脚步声始终不曾停歇。{w}对方不紧不慢地行走在砂砾上。,114,37
Running was something he was always good at.,他一直很擅长于奔跑。,44,10
"But now, {w=0.4}when it mattered most, {w=0.4}he couldn't do it.",可是现在，{w=0.4}在这最关键的时刻，{w=0.4}他却做不到。,64,34
The fastest freshman at a D1 university was no faster than an old druggie.,D1大学速度最快的新生比不过一个上了年纪的瘾君子。,74,25
He definitely would have been if he'd eaten anything over the past three days.,本来可以的，如果过去三天他有吃一点东西的话。,78,22
If his ribs weren't broken.{w} If he could see straight.,如果他的肋骨没有折断的话。{w} 如果他的眼睛能看清的话。,56,29
"The man had given him something.{w} He'd told him it was for the pain, but the pain was still there, and now he couldn't even stand.",那人曾给过他一些东西。{w}对方声称是用来止痛的，但疼痛依旧存在，而现在他甚至已经站不稳了。,132,46
His balance was shot and he kept stumbling until he was just crawling on all fours.,他终于失去了平衡，踉跄倒地，艰难地用四肢爬行。,83,23
It's now that he realizes the man had let him get away on purpose.,直到这时，他才发觉那人是故意放跑他的。,66,19
This makes him realize something else: {w}He was going to die.,这还令他意识到一件事：{w}他就要死了。,62,20
"Tired from the drug, from the past three days of constant fear and torture, and from trying to run, he collapses.",吸毒、长达三天的恐惧，以及逃跑所带来的疲劳于一瞬间爆发，他再也无力挣扎了。,113,37
"He lays there in the dirt, {w=0.5}sobbing, {w=0.5}even though tears don't come out.",他仰面朝天，{w=0.5}泣不成声，{w=0.5}却没有一滴泪水流出。,83,35
He'd run out of those after all the things the man had done to him.,在遭受了那个人的种种虐待之后，他的眼睛早就已经哭干了。,67,27
The light above is blinding.{w} He wonders if this is God.,头顶的光芒令人目眩。{w}他在想那是否是上帝。,58,23
"His mom was a devout catholic, and even though he never believed, he promises that light that he'll become a believer right then and there if it saved him.",他的母亲是一位虔诚的天主教徒，尽管他本人并不信教，但他向那道光祈祷着，倘若能够获得救赎，他愿意立刻皈依祂的怀抱。,155,56
The crunching gravel footsteps get closer.,沙砾上沉重的脚步向他靠拢。,42,13
His voice is still ragged and hoarse.,他的声音仍沙哑刺耳。,37,10
The footsteps come even closer.,脚步声更加临近了。,31,9
"There's a childish, high-pitched laugh.",一连串幼稚的尖笑响起。,39,11
The huge form moves closer.,巨大的身影赫然显现。,27,10
His chest aches with overwhelming sadness and despair.{w} And it's not just because he's about to die.,极度的悲伤和绝望充斥着他的胸口。{w}但这不仅是因为他死期将至。,102,32
It's because his mom won't know what happened to him.,更因为他的母亲无从得知他的去向。,53,16
"And it's because the last text message he saw from her said \""Love ya bug!!!\"" with ten heart and kissing emojis.",还因为她的最后一条短信上写着‘爱你噢，小不点！！！’，外加十颗爱心跟一个亲吻的表情。,113,42
He hadn't responded and just rolled his eyes.,可他没有回复，只是对着消息翻了个白眼。,45,19
"He thought he'd be able to respond the next day, or the day after that.",他本想着第二天，或过几天再回复的。,71,17
"And then after he'd been kidnapped, the man took his phone and sat it on the counter.",在被绑架之后，那个男人抢走了他的手机。,85,19
It sat there and buzzed over and over with messages and his kidnapper only laughed when he asked to at least read them.,它就被放在柜台，一遍又一遍地嗡嗡作响。而当他哀求绑匪至少读一下上面的内容时，对方只是发出不屑的笑。,119,49
Now the tears flow just as the man leans over him with something heavy in his paw.,现在，他用模糊的双眼注视着那个男人俯下身子，爪子里还抓着个沉重的东西。,82,35
He hopes his mom is right about God.,他多么希望母亲信仰的上帝是真实存在的啊。,36,20
He hopes he can see her from the other side.,他多么希望能从彼岸再见她一面。,44,15
Just so he can respond somehow.,哪怕只说上一句话。,31,9
{cps=1}...{w=1.0}{nw},{cps=1}...{w=1.0}{nw},21,21
But there was nothing.,然而只剩虚无。,22,7
"Cameron holds onto the seat tightly, the coyote's teeth rattling together with every pothole they hit.",Cameron紧紧抓着座椅，每驶过一个坑，这只郊狼的牙齿都会嘎嘎作响。,102,35
"His boyfriend, Devon, doesn't seem bothered at all; the bear's paw on the wheel with an elbow hanging out the window.",至于他的熊男友，Devon，则一手把着方向盘，另一只胳膊悬在窗外，完全不受颠簸的影响。,117,43
"He had been singing loudly to the music playing through the car's Bluetooth speakers, and it wasn't until cell phone service was lost that Devon finally seemed to notice Cameron's unease.",他一路随着蓝牙音箱放声歌唱，直到手机信号中断，Devon似乎才终于注意到了Cameron的窘态。,187,48
"Cameron raises his voice, yelling over the rattling interior.",Cameron抬高嗓门，用压倒性的音量大声吼道：,61,24
Cameron's voice bounces as they hit another deep groove in the destroyed road.,他们撞上了这条破烂公路的又一条深沟，Cameron的声音也随之一颤。,78,34
Cameron doesn't respond and goes on clutching at his seat.,Cameron没有回答，只是依旧抓着自己的座椅。,58,24
"Devon does slow down a bit though, more carefully maneuvering around the most broken up parts of the road.",不过Devon的确放慢了些速度，更加小心地行驶在这条公路最崎岖的部分。,106,35
"The coyote tenses up as the bear makes another smooth, but still sudden turn.",熊流畅而唐突地拐了个弯，郊狼又开始紧张起来。,77,22
Cameron shrugs.,Cameron耸耸肩。,15,11
Devon grins.,Devon咧嘴一笑。,12,10
Dev shrugs.,Dev耸耸肩。,11,7
"Devon doesn't say anything, and Cameron realizes how bitchy he sounds right now.",Devon没有接话，Cameron这才意识到刚才的话有多刻薄。,80,31
"Dev nods his head toward Cameron's window, and the coyote follows his gaze.",Dev点点头示意着Cameron那边的窗户，郊狼顺着他的目光望了过去。,75,35
"The rocky, uneven landscape has opened up to a wide expanse of blue.",崎岖不平的地貌俨然变成了一望无际的湛蓝。,68,20
"The bear looks ahead, and the first thing that Cameron sees is a tall, rusty sign with letters on the top that he can't quite read from this distance.",熊朝前方望去，映入Cameron眼帘的是一个高大而锈迹斑斑的路牌，上面画着难以辨别的字符。,150,45
"Below it is a small, shabby building, and beyond it are a few smaller, even shabbier buildings.",路牌下方坐落着一栋破败不堪的小房子，其远方则零星散布着更加渺小、甚至更破败的建筑。,95,41
Cameron wasn't sure what he'd feel like when he first saw the town.,Cameron对这座小镇的第一印象难以言喻。,67,22
"If the coyote really is what Devon thinks he is, then right now he'd feel all the awful, evil things that supposedly happened here.",如果这只郊狼真如Devon所想的那样，那么他理应即刻感知到这里所有可怕而邪恶的过往。,131,42
"Those small, run-down buildings should be exuding the memories of their past, which would then be projected into his mind.",那些年久失修的建筑理应散发着过去的气息，并投影在他的脑海中。,122,30
But Cameron feels.{cps=3}.. {/cps}{w=0.3}nothing.,但Cameron{cps=3}...{/cps}{w=0.3}什么也没有感觉到。,49,40
"Of course, he kind of knew this would be the case, but he'd never been to a place that was famously haunted.",他对这个结果当然不意外，毕竟他从没有去过任何以闹鬼而闻名的地方。,108,32
"Not like Echo, anyway.",至少不是回音镇这样的。,22,11
So he worried just a little bit.,所以他并没有过多担心。,32,11
"Dev asked him in the past to go on his amateur \""paranormal investigations\"".",Dev曾邀请他加入自己业余的‘超自然现象调查’。,77,24
"All because the coyote could \""see\"" things.",因为这只郊狼能够‘看见’。,44,13
"He'd remind Dev the proper word was \""hallucinate\"".",他提醒过Dev，正确的说法应该是‘幻觉’。,52,21
The things he saw were manifested by his own mind.,他所看到的一切只是脑中思维的呈现。,50,17
There was no reason for him to give it fuel by going some place supposedly haunted.,他没有任何理由去什么所谓的灵异地点，再给自己的病情加把火。,83,29
Dev got the message pretty quickly and stopped asking.,Dev也很快接受了他的说法，不再深究。,54,19
"They still talked about all those interests he had though, and Cameron realized there was a lot more to Devon's interest in ghosts than just dumb fun.",不过他们仍会不时讨论Dev的这个小爱好，Cameron也渐渐发觉Devon对鬼魂的兴趣远不止是单纯的好奇。,150,53
"And even though he'd refused to entertain Devon's psychic bullshit, the bear still took care of him.",不仅如此，尽管他拒绝了Devon的邀请，那只熊却仍对他视如己出。,100,32
He'd done so much for the coyote that Cameron was embarrassed to think about it sometimes.,Cameron甚至不好意思去想对方为他付出了多少。,90,25
"So, when Dev got this chance to go to the place he'd wanted to go the most, Cameron decided he had to go as well.",因此，当Dev得以前往那个他最向往的地方时，Cameron也下定了决心与他同行。,113,40
"He's doing this for Dev, to show his appreciation for everything that Dev had done for him.",这全是为了Dev，为了表达他对Dev的感激。,91,22
